OBJECTID,INPUT_FID,NEAR_FID,DISTANCE
2297,765,1,4849.327417401495000
2298,765,2,7466.099116785723700
2299,766,0,642.218723943856620
2300,766,1,4399.834631349828700
2301,766,2,7062.585786962860800
2302,767,0,233.354430584190030
2303,767,1,3568.693331719583100
2304,767,2,6231.541898975394400
2305,768,0,2488.998992609174400
2306,768,1,5611.465966471309000
2307,768,2,8150.130967282071700
2308,769,0,1760.419098968182900
2309,769,1,4289.866001389295900
2310,769,2,6803.889375838842200
2311,770,0,674.858519701834440
2312,770,1,3653.858687482114900
2313,770,2,6290.822195427176700
2314,771,0,1597.885410307965200
2315,771,1,4873.870415599108100
2316,771,2,7471.499341627457400
2317,772,0,1672.631664018617100
2318,772,1,5348.741621142575200
2319,772,2,7997.075039007338100
2320,773,0,690.652850337193630
2321,773,1,3601.574841472989200
2322,773,2,6237.948237393160500
2323,774,0,2392.038472735104700
2324,774,1,5685.870445182013100
2325,774,2,8258.418836455148300
2326,775,0,2447.712085634523600
2327,775,1,5407.294082381037700
2328,775,2,7919.991452390324400
2329,776,0,2673.389097187725400
2330,776,1,5846.418010354682300
2331,776,2,8387.121045080446500
2332,777,0,2490.877863604312100
2333,777,1,5496.102071726883900
2334,777,2,8014.242276218167700
2335,778,0,2576.817533376954100
2336,778,1,5663.982896514319700
2337,778,2,8192.547362862780600
2338,779,0,2817.167165785072000
2339,779,1,6090.331726448819600
2340,779,2,8646.141833430594500
2341,780,0,2534.116933338943000
2342,780,1,5580.806853807439400
2343,780,2,8104.058882103849100
2344,781,0,2720.328446039427900
2345,781,1,5929.228568015588300
2346,781,2,8475.222040837506900
2347,782,0,2766.376619040393100
2348,782,1,6008.379256270284700
2349,782,2,8559.423246718999500
2350,783,0,2626.539322171158800
2351,783,1,5757.746364588829200
2352,783,2,8292.338247016288700
2353,784,0,2413.210731368386000
2354,784,1,5330.796470782174800
2355,784,2,7838.555789689688900
2356,785,0,2025.566164927207000
2357,785,1,3635.521620889497600
2358,785,2,6060.626865456773900
2359,786,0,942.459094730356700
2360,786,1,3158.032071232764300
2361,786,2,5788.460265852458200
2362,787,0,1130.017431384348600
2363,787,1,4594.588277102295300
2364,787,2,7226.829493669580200
2365,788,0,2846.800126202560000
2366,788,1,932.173878147612300
2367,788,2,3590.919054704300400
2368,789,0,1709.506625035359300
2369,789,1,2107.244051611059600
2370,789,2,4760.232636057792700
2371,790,0,2383.572595377957000
2372,790,1,1556.917346839242800
2373,790,2,4156.855253309859100
2374,791,0,1448.210173304900800
2375,791,1,2327.655195161747100
2376,791,2,4989.822350474941200
2377,792,0,3156.662075655195200
2378,792,1,639.678571412056270
2379,792,2,3285.543674127112400
2380,793,0,3431.263286693499600
2381,793,1,473.910382478326770
2382,793,2,3036.003503328777700
2383,794,0,1607.841864572124900
2384,794,1,2301.707445113678200
2385,794,2,4936.348909016576700
2386,795,0,1351.230729969268200
2387,795,1,2555.991653309853100
2388,795,2,5197.166914782186700
2389,796,0,1300.564365183035500
2390,796,1,2529.953564878729100
2391,796,2,5184.035735564176300
2392,797,0,1754.214743123316100
2393,797,1,2144.021533906126900
2394,797,2,4774.167061961630700
2395,798,0,2526.658647942897000
2396,798,1,1270.991211806285000
2397,798,2,3923.372392126498200
2398,799,0,3036.515344234811400
2399,799,1,740.508964319411350
2400,799,2,3400.775436908342700
2401,800,0,2625.846893762352500
2402,800,1,1154.917288035497000
2403,800,2,3814.284059883906100
2404,801,0,1822.685919332201400
2405,801,1,2011.207025055367500
2406,801,2,4658.792277067150300
2407,802,0,2793.149794248389300
2408,802,1,1016.622449055354700
2409,802,2,3660.576369811030400
2410,803,0,2563.557307517143700
2411,803,1,1341.847781613435000
2412,803,2,3947.730246247337600
2413,804,0,1879.163582115651500
2414,804,1,2287.697310154917400
2415,804,2,4852.441055235646700
2416,805,0,2368.407862469653100
2417,805,1,1430.554117898866000
2418,805,2,4081.889708525442500
2419,806,0,2475.228891566129700
2420,806,1,1513.308214204530300
2421,806,2,4091.301299645564100
