FID,distance to SAS,distance to stations before,distance decreased
723,808.7536974,354.3370406,
724,399.0320532,347.2465324,
725,721.9298819,258.7775961,
726,770.547802,153.8333063,
727,758.8819728,291.162956,
728,422.996734,346.9359574,
729,293.1579905,242.6597033,
730,701.4513634,210.1564087,
731,736.8766229,64.42391923,
732,774.2250372,158.3447639,
733,274.6289104,213.5574906,
734,838.645565,372.6671914,
735,932.8909571,367.0098885,
736,365.3523143,271.0599693,
737,456.3024636,157.4623812,
738,791.6762594,441.6921951,
739,723.8777944,85.33365262,
740,454.029164,352.5664437,
741,563.1248023,237.902344,
742,789.3845294,94.18404113,
743,962.457359,310.8597349,
744,726.8272112,285.8839494,
745,316.973085,235.2873541,
746,712.1275243,101.4067754,
747,977.2737686,372.953608,
748,1001.461786,243.7649398,
749,704.249322,265.4955369,
750,401.7027888,331.3791922,
751,675.0845049,180.2855934,
752,359.1765251,182.6284286,
753,907.4677793,235.1627177,
754,673.8254179,213.5252845,
755,727.3292183,158.4141007,
756,770.5622048,373.0774702,
757,431.4568222,184.6931948,
758,557.2015955,317.6053548,
759,528.6372492,151.1188113,
760,320.3597473,348.1653301,
761,888.3029099,137.9093326,
762,584.4856548,221.8246042,
763,368.7067512,260.3518369,
764,468.9106293,114.5591386,
765,389.2123144,302.860457,
766,722.8301602,246.1068788,
767,579.1185414,108.7988818,
768,656.7994728,276.0526563,
769,344.396443,321.2442907,
770,446.2944839,189.0693121,
771,663.8919201,139.6880736,
772,442.4260062,155.121507,
773,647.7258372,267.2222769,
774,808.507751,362.984038,
775,910.6151223,240.0522912,
776,707.3526077,373.2318568,
777,744.0964068,291.9776027,
778,679.024426,219.3638531,
